player,score
"['M_Anh', 'Phongcu', 'PhongMinhAnh', 'random']","[0, 8, 9, 9]"
"['PhongMinhAnh', 'NA_ifelse', 'Phongcu', 'random']","[0, 3, 3, 5]"
"['Hieu', 'NA_ifelse', 'M_Anh', 'NA_RL']","[0, 3, 5, 8]"
"['NA_RL', 'M_Anh', 'Hieu', 'PhongMinhAnh']","[0, 1, 2, 7]"
"['Hieu', 'M_Anh', 'NA_RL', 'random']","[0, 1, 7, 8]"
"['Phongcu', 'Hieu', 'M_Anh', 'NA_RL']","[0, 1, 3, 5]"
"['Hieu', 'NA_RL', 'NA_ifelse', 'PhongMinhAnh']","[0, 4, 9, 12]"
"['Hieu', 'NA_ifelse', 'random', 'NA_RL']","[0, 5, 6, 9]"
"['NA_RL', 'Phongcu', 'Hieu', 'NA_ifelse']","[0, 1, 3, 9]"
"['Hieu', 'PhongMinhAnh', 'NA_RL', 'random']","[0, 5, 9, 9]"
"['Hieu', 'Phongcu', 'PhongMinhAnh', 'NA_RL']","[0, 4, 5, 7]"
"['Phongcu', 'NA_RL', 'Hieu', 'random']","[0, 3, 3, 4]"
"['NA_ifelse', 'PhongMinhAnh', 'NA_RL', 'M_Anh']","[0, 2, 3, 5]"
"['NA_ifelse', 'M_Anh', 'random', 'NA_RL']","[0, 2, 7, 8]"
"['NA_ifelse', 'M_Anh', 'Phongcu', 'NA_RL']","[0, 1, 1, 4]"
"['PhongMinhAnh', 'M_Anh', 'NA_RL', 'random']","[0, 2, 4, 5]"
"['Phongcu', 'PhongMinhAnh', 'NA_RL', 'M_Anh']","[0, 1, 2, 4]"
"['Phongcu', 'M_Anh', 'NA_RL', 'random']","[0, 1, 5, 8]"
"['PhongMinhAnh', 'NA_ifelse', 'NA_RL', 'random']","[0, 4, 7, 10]"
"['PhongMinhAnh', 'NA_ifelse', 'NA_RL', 'Phongcu']","[0, 2, 8, 10]"
"['Phongcu', 'NA_ifelse', 'NA_RL', 'random']","[0, 3, 4, 5]"
"['Phongcu', 'PhongMinhAnh', 'random', 'NA_RL']","[0, 1, 4, 8]"
"['M_Anh', 'PhongMinhAnh', 'Hieu', 'NA_ifelse']","[0, 2, 3, 3]"
"['Hieu', 'M_Anh', 'NA_ifelse', 'random']","[0, 1, 1, 3]"
"['Phongcu', 'M_Anh', 'NA_ifelse', 'Hieu']","[0, 3, 4, 5]"
"['M_Anh', 'Hieu', 'PhongMinhAnh', 'random']","[0, 2, 4, 5]"
"['PhongMinhAnh', 'Phongcu', 'M_Anh', 'Hieu']","[0, 3, 5, 6]"
"['Phongcu', 'Hieu', 'M_Anh', 'random']","[0, 4, 4, 9]"
"['Hieu', 'PhongMinhAnh', 'NA_ifelse', 'random']","[0, 4, 6, 7]"
"['Phongcu', 'Hieu', 'NA_ifelse', 'PhongMinhAnh']","[0, 9, 10, 12]"
"['Phongcu', 'Hieu', 'NA_ifelse', 'random']","[0, 5, 8, 8]"
"['Phongcu', 'PhongMinhAnh', 'Hieu', 'random']","[0, 1, 8, 9]"
"['NA_ifelse', 'PhongMinhAnh', 'random', 'M_Anh']","[0, 3, 5, 6]"
"['PhongMinhAnh', 'Phongcu', 'M_Anh', 'NA_ifelse']","[0, 1, 4, 5]"
"['Phongcu', 'NA_ifelse', 'random', 'M_Anh']","[0, 1, 1, 2]"
"['Phongcu', 'M_Anh', 'PhongMinhAnh', 'random']","[0, 4, 5, 6]"
"['PhongMinhAnh', 'NA_ifelse', 'random', 'Phongcu']","[0, 1, 3, 6]"
"['Hieu', 'NA_RL', 'NA_ifelse', 'M_Anh']","[0, 1, 5, 7]"
"['M_Anh', 'PhongMinhAnh', 'Hieu', 'NA_RL']","[0, 2, 6, 9]"
